Emotion,Text,Clean Text
sadness,i didnt feel humiliated,didnt feel humiliated
sadness,i didnt feel humiliated,feeling hopeless damned hopeful cares awake
sadness,i didnt feel humiliated,im grabbing minute post feel greedy wrong
sadness,i didnt feel humiliated,feeling nostalgic fireplace know property
sadness,i didnt feel humiliated,feeling grouchy
sadness,i didnt feel humiliated,ive feeling little burdened lately wasnt sure
sadness,i didnt feel humiliated,ive taking milligrams times recommended ive fallen asleep lot faster feel like funny
sadness,i didnt feel humiliated,feel confused life teenager jaded year old man
sadness,i didnt feel humiliated,petronas years feel petronas performed huge profit
sadness,i didnt feel humiliated,feel romantic
sadness,i didnt feel humiliated,feel like suffering seeing mean
sadness,i didnt feel humiliated,feel running divine experience expect type spiritual encounter
sadness,i didnt feel humiliated,think easiest time year feel dissatisfied
sadness,i didnt feel humiliated,feel low energy thirsty
sadness,i didnt feel humiliated,immense sympathy general point possible proto writer trying find time write corners life sign agent let publishing contract feels little precious
sadness,i didnt feel humiliated,feel reassured anxiety
sadness,i didnt feel humiliated,didnt feel embarrassed
sadness,i didnt feel humiliated,feel pretty pathetic time
sadness,i didnt feel humiliated,started feeling sentimental dolls child began collection vintage barbie dolls sixties
sadness,i didnt feel humiliated,feel compromised skeptical value unit work
sadness,i didnt feel humiliated,feel irritated rejected saying
sadness,i didnt feel humiliated,feeling completely overwhelmed strategies help feel grounded pour heart journal form letter god end list things grateful
sadness,i didnt feel humiliated,feeling amused delighted
sadness,i didnt feel humiliated,able help chai lifeline support encouragement great feeling glad able help
sadness,i didnt feel humiliated,feel like fucked dont usually eat morning
sadness,i didnt feel humiliated,love wish best longer tolerate effect bm lives fact turned bitter angry person particularly kind people feeling stressed
sadness,i didnt feel humiliated,feel inhibited elses kitchen like im painting elses picture
sadness,i didnt feel humiliated,overwhelmed feel defeated
sadness,i didnt feel humiliated,feel kinda appalled feels like needs explain wide lenghth body measures etc pp
sadness,i didnt feel humiliated,feel superior dead chicken grieving child
sadness,i didnt feel humiliated,giddy feeling elegant perfectly fitted pencil skirt
sadness,i didnt feel humiliated,remember feeling acutely distressed days
sadness,i didnt feel humiliated,seen heard read past couple days left feeling impressed companies
sadness,i didnt feel humiliated,climbed hill feeling frustrated id pretty paced entirely wrong course factor hampered dent day
sadness,i didnt feel humiliated,imagine real life scenario emotionally connected feel totally accepted safe morally acceptable close prolonged physical contact sex expected subsequently
sadness,i didnt feel humiliated,sure feel content
sadness,i didnt feel humiliated,feeling need creative
sadness,i didnt feel humiliated,want know causing feel splendid self step away
sadness,i didnt feel humiliated,feel bit rude writing elderly gentleman ask gifts feel bit greedy christmas mild greed
sadness,i didnt feel humiliated,need need need protected feel safe small find season words
sadness,i didnt feel humiliated,plan share everyday life stories traveling adventures inspirations handmade creations hope feel inspired
sadness,i didnt feel humiliated,christmas trees got feeling festive sure spurring started book
